question,reponse
"Les frais de 50 DA ou 150 DA remplacent-ils le prix du forfait principal ?,""Non, les frais de 50 DA ou 150 DA sajoutent au prix mensuel du forfait principal Djezzy Confort.""",
Quelles options sont disponibles pour Confort 1500 ?,Le forfait Confort 1500 permet de partager 5 Go pour 50 DA/mois ou 20 Go pour 150 DA/mois.
Quelles options sont disponibles pour Confort 2000 ?,Le forfait Confort 2000 permet de partager 10 Go pour 50 DA/mois ou 35 Go pour 150 DA/mois.
Quelles options sont disponibles pour Confort 3000 ?,Le forfait Confort 3000 permet de partager 15 Go pour 50 DA/mois ou 60 Go pour 150 DA/mois.
Où peut-on activer loffre Confort Partage ?,Lactivation de loffre Confort Partage est disponible dans les boutiques Djezzy.
"Est-ce que Confort Partage permet de partager les appels et SMS ?,""Non, Confort Partage est conçu principalement pour le partage du volume internet mobile.""",
Quel est le volume maximum partageable avec Confort Partage ?,Le volume maximum partageable peut atteindre 60 Go selon le forfait choisi.
"Confort Partage est-il adapté pour une famille ?,""Oui, loffre est idéale pour les familles ou les utilisateurs souhaitant partager leur connexion internet entre plusieurs appareils.""",
"Quels bonus internet sont inclus avec STUDENT CAMPUCE ?,""Les utilisateurs bénéficient dun bonus de 1 Go offert chaque vendredi.""",
"Y a-t-il un bonus de bienvenue avec STUDENT CAMPUCE ?,""Oui, un bonus de bienvenue de 5 Go est offert.""",
"Quest-ce que loffre Djezzy 3ayla ?,""Djezzy 3ayla est une offre de partage de connexion internet conçue pour les familles et groupes, permettant de connecter plusieurs appareils à internet via un modem 4G et une carte SIM.""",
"Pourquoi la carte SIM est-elle importante dans Djezzy 3ayla ?,""Dans loffre Djezzy 3ayla, la carte SIM est insérée dans le modem afin de transformer la connexion mobile en réseau Wi-Fi pour plusieurs appareils.""",
"Peut-on utiliser la SIM Djezzy 3ayla dans un téléphone ?,""La SIM est principalement destinée au modem internet, mais son utilisation dépend des conditions de loffre Djezzy.""",
Quels volumes internet peut-on transférer avec FLEXY Net ?,"FLEXY Net permet de transférer 500 Mo, 1 Go ou 2 Go."
Combien coûte le transfert de 500 Mo avec FLEXY Net ?,Le transfert de 500 Mo coûte 30 DZD.
Combien coûte le transfert de 1 Go avec FLEXY Net ?,Le transfert de 1 Go coûte 50 DZD.
Combien coûte le transfert de 2 Go avec FLEXY Net ?,Le transfert de 2 Go coûte 70 DZD.
Quelle est la validité du transfert de 500 Mo ?,Le volume transféré de 500 Mo est valable pendant 24 heures.
Quelle est la validité du transfert de 1 Go ?,Le volume transféré de 1 Go est valable pendant 24 heures.
Quelle est la validité du transfert de 2 Go ?,Le volume transféré de 2 Go est valable pendant 48 heures.
Le prix du transfert dépend-il du volume internet choisi ?,"Oui, le coût varie selon le volume internet transféré."
Qu’est-ce que Facebook Flex de Djezzy ?,Facebook Flex est un service Djezzy permettant d’utiliser Facebook et Messenger gratuitement 24h/24 et 7j/7.
À quoi sert Facebook Flex ?,"Facebook Flex permet de discuter, publier, commenter et partager du contenu gratuitement avec ses proches et amis."
Qui peut utiliser Facebook Flex ?,Le service est destiné aux abonnés Djezzy.
Comment accéder à Facebook Flex ?,Facebook Flex est accessible via le site web Facebook.com ou les applications Facebook et Messenger sur Android.
Facebook Flex fonctionne-t-il sur Messenger ?,"Oui, Facebook Flex permet d’utiliser Messenger gratuitement."
Quelles fonctionnalités sont disponibles avec Facebook Flex ?,"Le service permet de publier des statuts, commenter, envoyer des messages, partager du contenu texte et recevoir des notifications."
Peut-on publier du contenu avec Facebook Flex ?,"Oui, il est possible de publier des textes et interagir avec les publications."
Facebook Flex permet-il d’envoyer des messages ?,"Oui, le service permet d’envoyer et de recevoir des messages via Messenger."
Peut-on gérer son compte Facebook avec Facebook Flex ?,"Oui, il est possible de gérer son compte, paramètres, calendrier et événements."
Facebook Flex est-il totalement gratuit ?,"Oui, Facebook Flex permet un accès gratuit aux fonctionnalités incluses du service."
Facebook Flex permet-il de partager du contenu multimédia ?,Les fonctionnalités gratuites concernent principalement les interactions textuelles et certaines fonctions de base.
Quels sont les avantages de Facebook Flex ?,"Facebook Flex offre une utilisation flexible d’internet, une meilleure expérience sociale et une interaction gratuite avec les proches."
Facebook Flex fonctionne-t-il 24h/24 ?,"Oui, le service est disponible 24h/24 et 7j/7."
Qu’est-ce que FLEXY Net de Djezzy ?,FLEXY Net est un service de Djezzy permettant de transférer des volumes internet vers un autre numéro mobile Djezzy.
Qui peut utiliser FLEXY Net ?,Le service FLEXY Net est disponible pour les abonnés particuliers Djezzy.
À quoi sert FLEXY Net ?,FLEXY Net permet d’aider des proches ou amis en leur transférant une partie de son volume internet.
Comment fonctionne FLEXY Net ?,L’utilisateur choisit un volume internet à transférer puis l’envoie vers un autre numéro Djezzy via plusieurs canaux disponibles.
Comment transférer internet avec FLEXY Net ?,"Le transfert peut être effectué via l’application Djezzy, le site web my.djezzy.dz, le code *707# ou en appelant le 707."
Peut-on utiliser FLEXY Net depuis l’application Djezzy ?,"Oui, FLEXY Net est accessible depuis l’application Djezzy sur Android et iOS."
Peut-on utiliser FLEXY Net depuis le site web Djezzy ?,"Oui, le service est accessible depuis le portail my.djezzy.dz."
Quel code utiliser pour accéder à FLEXY Net ?,Le service FLEXY Net peut être utilisé avec le code *707#.
Le nombre de transferts FLEXY Net est-il limité ?,"Non, le nombre de transferts avec FLEXY Net est illimité."
Quelle est la durée de validité du volume internet transféré ?,Le volume internet transféré est valable entre 24 heures et 48 heures.
Comment consulter son forfait internet avec FLEXY Net ?,"Le suivi du forfait internet peut être consulté via l’application Djezzy, le portail my.djezzy.dz ou le code *707#."
Peut-on transférer internet vers n’importe quel opérateur ?,"Non, FLEXY Net permet uniquement le transfert vers des numéros Djezzy."
FLEXY Net est-il utile pour partager internet avec des proches ?,"Oui, le service est conçu pour partager facilement du volume internet avec des proches ou amis."
