content,category,is_active,needs_reindex
"[djezzy_services.csv] id: svc_001 | category: Divertissement | name: DJEZZY SCOOP | description: Le Service Djezzy Scoop vous permet de recevoir sur votre mobile des nouvelles, informations culturelles et météo par SMS. | description_complete: True | url: https://www.djezzy.dz/particuliers/services/djezzy-scoop/ | lang: fr | source: djezzy.dz | qa_pairs: [{""q"": ""C'est quoi le service Djezzy Scoop ?"", ""a"": ""Djezzy Scoop est un service qui vous permet de recevoir sur votre mobile des nouvelles, des informations culturelles et la météo par SMS.""}, {""q"": ""Comment rester informé avec Djezzy ?"", ""a"": ""Avec Djezzy Scoop, vous recevez directement sur votre mobile des actualités, informations culturelles et météo par SMS.""}, {""q"": ""Djezzy propose-t-il un service d'informations par SMS ?"", ""a"": ""Oui, avec Djezzy Scoop vous pouvez recevoir des nouvelles, des infos culturelles et la météo directement par SMS sur votre mobile.""}]",djezzy_services,true,true
"Découvrez Djezzy Scoop, un service divertissant et économique qui vous permet de rester informé grâce à des SMS personnalisés sur les actualités, la culture et la météo, idéal pour ceux qui veulent rester au courant sans dépasser leur petit budget.",djezzy_services,true,true
"Avec Djezzy Scoop, bénéficiez d'un accès à des contenus variés et restez connecté en tout temps, c'est un choix judicieux pour ceux qui recherchent un service abordable et fiable pour rester informés sur leur mobile.",djezzy_services,true,true
"[djezzy_services.csv] id: svc_002 | category: Divertissement | name: RANATI | description: Changez de tonalité en fonction des nouveautés ou des événements, aussi souvent que vous le souhaitez. | description_complete: True | url: https://www.djezzy.dz/particuliers/services/ranati/ | lang: fr | source: djezzy.dz | qa_pairs: [{""q"": ""C'est quoi Ranati ?"", ""a"": ""Ranati est un service qui vous permet de changer votre tonalité d'appel aussi souvent que vous le souhaitez, selon les nouveautés ou les événements.""}, {""q"": ""Comment changer ma sonnerie d'attente chez Djezzy ?"", ""a"": ""Avec Ranati, vous pouvez changer votre tonalité d'appel quand vous voulez, en fonction des événements ou des nouveautés disponibles.""}, {""q"": ""Puis-je personnaliser ma tonalité sur Djezzy ?"", ""a"": ""Oui, grâce au service Ranati vous pouvez changer votre tonalité aussi souvent que vous le désirez selon les événements ou les nouveautés.""}]",djezzy_services,true,true
"Découvrez Ranati, un service divertissant qui vous permet de personnaliser votre tonalité d'appel en fonction des nouveautés ou des événements, à un coût très abordable. Vous pouvez ainsi changer de tonalité aussi souvent que vous le souhaitez, et c'est vraiment économique !",djezzy_services,true,true
"Avec Ranati, vous avez la possibilité de modifier votre sonnerie d'attente à votre guise, en fonction des événements ou des nouveautés disponibles, et cela convient parfaitement à ceux qui ont un petit budget et qui veulent une touche personnelle sur leur téléphone.",djezzy_services,true,true
"[djezzy_services.csv] id: svc_003 | category: Divertissement | name: Djezzy Nokta | description: «Nokta» offre un contenu divertissant algérien composé des deux thèmes Blagues et Boukala. | description_complete: True | url: https://www.djezzy.dz/particuliers/services/nokta/ | lang: fr | source: djezzy.dz | qa_pairs: [{""q"": ""C'est quoi Djezzy Nokta ?"", ""a"": ""Djezzy Nokta est un service de divertissement algérien qui propose des blagues et des Boukala.""}, {""q"": ""Quel type de contenu propose Nokta ?"", ""a"": ""Nokta offre du contenu divertissant algérien autour de deux thèmes : les Blagues et les Boukala.""}, {""q"": ""Comment accéder au contenu humoristique algérien sur Djezzy ?"", ""a"": ""Avec le service Djezzy Nokta, vous avez accès à du contenu divertissant algérien incluant des blagues et des Boukala.""}]",djezzy_services,true,true
"Découvrez Djezzy Nokta, un service divertissant qui vous propose un contenu algérien varié autour des thèmes Blagues et Boukala, idéal pour les amoureux de l'humour algérien, accessible à un petit budget, vous pouvez en savoir plus sur https://www.djezzy.dz/particuliers/services/nokta/",djezzy_services,true,true
"Avec Djezzy Nokta, vous bénéficiez d'un accès à un contenu divertissant sans restriction, incluant des blagues et des Boukala, qui sauront vous faire sourire, et tout cela à un prix économique, rendez-vous sur https://www.djezzy.dz/particuliers/services/nokta/ pour plus d'informations",djezzy_services,true,true
"[djezzy_services.csv] id: svc_004 | category: Divertissement | name: GAME PORTAL | description: Le Game Portal est un service de contenus sous forme de portail de jeux mobiles, proposé aux abonnés Djezzy équipés de Smartphones Android. | description_complete: True | url: https://www.djezzy.dz/particuliers/services/gameportal/ | lang: fr | source: djezzy.dz | qa_pairs: [{""q"": ""C'est quoi le Game Portal Djezzy ?"", ""a"": ""Le Game Portal est un portail de jeux mobiles proposé aux abonnés Djezzy qui possèdent un smartphone Android.""}, {""q"": ""Est-ce que Djezzy propose des jeux mobiles ?"", ""a"": ""Oui, via le service Game Portal, Djezzy propose un portail de jeux mobiles accessible aux abonnés équipés de smartphones Android.""}, {""q"": ""Le Game Portal fonctionne sur quel téléphone ?"", ""a"": ""Le Game Portal de Djezzy est disponible pour les abonnés ayant un smartphone Android.""}]",djezzy_services,true,true
