content,category,is_active,needs_reindex
"[djezzy_campuce_updated.csv] price: 1 600 DA | internet: 70 GB INTERNET | calls: APPELS ILLIMITÉS
EN NATIONAL | sms_djezzy: SMS ILLIMITÉS
VERS DJEZZY | sms_other: 50 SMS VERS AUTRES RÉSEAUX | validity: 30 jours [PRIX_BAS] [TRES_GROS_VOLUME] [ILLIMITE] [LONGUE_DUREE]",djezzy_campuce_updated,true,true
"Découvrez notre offre haut de gamme à 1 600 DA, qui vous propose 70 GB de data, des appels sans restriction en national, des SMS sans limite vers Djezzy et 50 SMS vers d'autres réseaux, valable pendant 30 jours, idéale pour ceux qui veulent un gros volume de data et une liberté totale dans leurs communications.",djezzy_campuce_updated,true,true
"Profitez de notre forfait premium à 1 600 DA, offrant une connexion internet généreuse de 70 GB, des communications téléphoniques illimitées en national, des SMS sans restriction vers Djezzy et 50 SMS vers d'autres opérateurs, avec une durée de validité de 30 jours, conçu pour vous offrir le meilleur des services de télécommunications sans vous ruiner.",djezzy_campuce_updated,true,true
"[djezzy_campuce_updated.csv] price: 1 200 DA | internet: 40 GB INTERNET | calls: APPELS ILLIMITÉS VERS DJEZZY | sms_djezzy: SMS ILLIMITÉS
VERS DJEZZY | credit: 3 000 DA
CRÈDIT | validity: 30 jours [PRIX_TRES_BAS] [GROS_VOLUME] [ILLIMITE] [LONGUE_DUREE]",djezzy_campuce_updated,true,true
"Découvrez notre offre haut de gamme à 1 200 DA, qui vous permet de bénéficier de 40 GB de données, d'appels sans restriction vers Djezzy, ainsi que de SMS sans limite vers Djezzy, le tout accompagné d'un crédit de 3 000 DA et valable pendant 30 jours. C'est l'occasion idéale de profiter d'un gros volume de données pour répondre à vos besoins.",djezzy_campuce_updated,true,true
"Pour un budget premium de 1 200 DA, nous vous proposons une offre composée de 40 GB de données, offrant ainsi un volume généreux, des appels et SMS sans restriction vers Djezzy, ainsi qu'un crédit de 3 000 DA, avec une validité de 30 jours, répondant parfaitement à vos attentes de haute qualité.",djezzy_campuce_updated,true,true
"[djezzy_campuce_updated.csv] price: 800 DA | internet: 15 GB INTERNET | calls: APPELS ILLIMITÉS VERS DJEZZY | sms_djezzy: SMS ILLIMITÉS
VERS DJEZZY | credit: 2 000 DA
CRÈDIT | validity: 30 jours [PRIX_MOYEN] [VOLUME_MOYEN] [ILLIMITE] [LONGUE_DUREE]",djezzy_campuce_updated,true,true
"Découvrez notre offre premium qui vous permet de bénéficier de 15 GB d'internet, d'appels sans restriction vers Djezzy, de SMS sans limite vers Djezzy, ainsi que de 2 000 DA de crédit, le tout pour 800 DA et valable pendant 30 jours. C'est une formule haut de gamme qui vous offre un gros volume de data pour une expérience de navigation sans égal.",djezzy_campuce_updated,true,true
"Cette formule haut de gamme vous permet de profiter de 15 GB de data généreux, d'appels et de SMS sans restriction vers Djezzy, ainsi que de 2 000 DA de crédit, tout cela pour 800 DA pendant 30 jours. C'est une offre premium qui répond à vos besoins de communication et de navigation en vous offrant une expérience de luxe.",djezzy_campuce_updated,true,true
"[djezzy_campuce_updated.csv] price: 400 DA | internet: 5 GB INTERNET | calls: APPELS ILLIMITÉS VERS DJEZZY | sms_djezzy: SMS ILLIMITÉS
VERS DJEZZY | credit: 500 DA
CRÈDIT | validity: 30 jours [PRIX_BAS] [VOLUME_MOYEN] [ILLIMITE] [LONGUE_DUREE]",djezzy_campuce_updated,true,true
